Homonym,Index,S1,S2,S3
place,44928,He overstepped his place .,,He put the lamp back in its place .
raise,44993,Raise the question of promotions .,,Raise from the dead .
fall,44987,Fall by the wayside .,,Christmas falls on a Monday this year .
keep,0-3,Keep my job for me while I give birth .,,Keep a diary .
defense,45108,In defense he said the other man started it .,,The artillery battered down the defenses .
give,0-0,Give homage .,,She gave herself to many men .
restraint,44986,The unlawful restraint of trade .,,Restraints imposed on imports .
hold,44927,He can hold his liquor .,,"To carry well , i.e. to hold the head high , with arching neck ."
visit,0-0,Did you ever visit Paris ?,,The principal visited his rage on the students .
line,0-3,A nice line of shoes .,,They were arrayed in line of battle .
make,44928,What do you make of his remarks ?,,Make a mistake .
point,44934,Life has lost its point .,,He broke the point of his pencil .
cover,1-0,The grant does n't cover my salary .,,The President covered the fact that he bugged the offices in the White House .
run,0-0,Run a subject .,,I 'm not ready to run a marathon .
accept,0-0,I can not accept your invitation .,,We accept the idea of universal health care .
contact,44958,Contact with the pier scraped paint from the hull .,,The pilot made contact with the base .
carry,44958,Put down 5 and carry 2 .,,I am carrying his child .
cut,44927,Would you please cut the cake ?,,Cut a hole .
side,45173,It brought out his better side .,,The Confederate side was prepared to attack .
draw,45170,Draw a weapon .,,A ship draws ten feet of water .
wall,0-2,A wall of prejudice .,,The container 's walls were blue .
carry,45139,These bonds carry warrants .,,The dog was taught to fetch and carry .
turn,0-2,Turn the corner .,,We turned from Socialism to Capitalism .
carry,44989,The dog was taught to fetch and carry .,,Carry a cause .
radiate,45024,Spokes radiate from the hub of the wheel .,,The heat radiates from a stove .
choke,0-2,Choke a carburetor .,,The pirate choked the sailor to death .
connect,45053,"Operator , could you connect me to the Raffles in Singapore ?",,These computers connected well .
give,44987,The French doors give onto a terrace .,,The wall gave in .
return,44989,His gross income was enough that he had to file a tax return .,,On his return from Australia we gave him a welcoming party .
action,44968,He is out of action .,,The piano had a very stiff action .
head,45080,Tickets are $ 5 per head .,,We will consider performance issues under the head of future improvements .
hand,45111,"On the one hand ... , but on the other hand ...",,All hands on deck .
turn,45049,Turn your face to the wall .,,The people turned against the President when he stole the election .
world,44929,He sailed around the world .,,All the world loves a lover .
ride,45081,I ride to work in a bus .,,She rode a wave of popularity .
take,0-0,We take the Times every day .,,Take action .
work,45050,This dough does not work easily .,,Can you work an electric drill ?
come,0-0,Come into contact with a terrorist group .,,Where did you come from ?
fire,45020,"In warfare , whoever opens fire first has a greater chance of victory .",,Surrender fires the cold skepticism .
cover,0-1,Cover the grave with flowers .,,She covered herself with glory .
point,44960,What is the point of discussing it ?,,He stuck the point of the knife into a tree .
play,0-5,It was all done in play .,,Rain stopped play in the 4th inning .
chance,5-0,You take a chance when you let her drive .,,We had the chance to meet the president last week .
cup,0-0,He swore as the ball rimmed the cup and rolled away .,,He drank a cup of coffee .
drop,0-2,A drop of each sample was analyzed .,,They expected the drop would be successful .
plug,2-0,Plug the wall .,,He attempted to plug the leaks with some caulk .
mean,45018,The sky is red this morning — does that mean we 're in for a storm ?,,My ex-husband means nothing to me .
washout,44987,It was several days after the storm before they could repair the washout and open the road .,,From the house they watched the washout of their newly seeded lawn by the water .
make,0-2,Make lead into gold .,,How much do you make a month in your new job ?
run,0-0,The crowd had to run away from the burning structure with only the clothes on their backs .,,Who 's running for treasurer this year ?
thing,44927,How could you do such a thing ?,,He has a thing about seafood .
make,44936,Make a phone call .,,They make a cute couple .
house,44929,The house gets a percentage of every bet .,,He has a house on Cape Cod .
custody,0-2,He was mistreated while in police custody .,,The suspect is in custody .
respect,2-0,"He is an intellectual giant , and I have great respect for him .",,Be sure to give my respects to the dean .
strike,45080,Please strike this remark from the record .,,We must strike the enemy 's oil fields .
take,45144,I used to take The Sunday Times .,,You ca n't take credit for this !
continue,45021,We can not continue several servants any longer .,,The bad weather continued for two more weeks .
play,44929,Play the stock market .,,Play cards .
sum,45020,The sum of all our troubles did not equal the misery they suffered .,,The sum of forty pounds .
cut,0-0,She cut the deck for a long time .,,Soap cuts grease .
work,45021,Mastering a second language requires a lot of work .,,He arrived at work early today .
take,0-2,I used to take The Sunday Times .,,Take action .
cut,44931,She cut the deck for a long time .,,Cut a disk .
place,44930,Your place or mine ?,,If you were in my place what would you do ?
law,45110,There is a law against kidnapping .,,"By law , one is not allowed to own a wallaby in New York City ."
tumble,0-0,Wash in warm water and tumble dry .,,They tumbled the teams with no apparent pattern .
play,0-1,The play lasted two hours .,,They made a futile play for power .
check,0-0,He paid all his bills by check .,,He asked the waiter for the check .
piece,45047,It was a nice piece of work .,,He needed a piece of granite .
move,44958,To move in a matter .,,She moved the queen closer to the centre of the board .
see,0-1,Let 's see -- which movie should we see tonight ?,,How nice to see you again !
reduce,0-0,Reduce an image .,,Reduce one 's standard of living .
take,2-0,Take an opportunity .,,The escaped convict took to the hills .
pack,45079,You had better pack your swollen ankle with ice .,,Pack the faucet .
part,44960,He wanted to feel a part of something bigger than himself .,,The rear part of the house .
edge,45018,His voice had an edge to it .,,She sat on the edge of the bed .
take,3-0,I take aspirin every day to thin my blood .,,Hitler took the Baltic Republics .
be,44959,I may be an hour .,,When will the meeting be ?
touch,44989,The cooling touch of the night air .,,This piano has a wonderful touch .
pull,45083,Pull one 's horse to a stand .,,Pull the ball .
catch,44961,Did you catch a cold ?,,The fashion did not catch .
see,0-5,We had to see a psychiatrist .,,He saw action in Viet Nam .
make,44929,Make advances .,,She 'll make a fine president .
realization,44963,A growing realization of the risk involved .,,The victory was the realization of a whole year 's work .
head,0-3,He stuck his head out the window .,,They tracked him back toward the head of the stream .
touch,44961,He longed for the touch of her hand .,,This room needs a woman 's touch .
stick,3-0,Stick the corner of the sheet under the mattress .,,The friends stuck together through the war .
occupy,0-1,The young prince will soon occupy the throne .,,He occupies two rooms on the top floor .
go,44958,It 's your turn ; go .,,"The gun went "" bang "" ."
dress,44962,Dress the windows .,,Marlene dressed herself .
polish,0-2,Polish your social manners .,,He polished up the chrome until it gleamed .
give,44986,Give thought to .,,I gave two sons to the war .
school,44928,He did n't miss a single day of school .,,He walked to school every morning .
strike,45109,Strike ` z ' on the keyboard .,,The horse finally struck a pace .
make,0-1,Make a cake .,,He made twenty bucks playing poker last night .
break,7-0,Break a branch from a tree .,,The business partners broke over a tax question .
academy,44958,The Academy of Music .,,The American Academy of Arts and Sciences .
head,0-2,I 've got to go to the head .,,This song keeps going through my head .
ground,44931,They fought to regain the lost ground .,,The worm crawls through the ground .
spread,44928,They put out quite a spread .,,The spread between lending and borrowing costs .
draw,44961,Draw a conclusion .,,The doctors drew medical supplies from the hospital 's emergency bank .
fall,44960,The hills around here fall towards the ocean .,,His eyes fell .
business,44969,We do business all over the world .,,He bought his brother 's business .
object,45081,The sole object of her trip was to see her children .,,The object of the verb .
order,45112,It was on the order of a mile .,,Law and order .
breath,44929,His sour breath offended her .,,The child 's breath came quickly and unevenly .
break,45085,Break the code .,,Break a branch from a tree .
shock,44931,He had an unruly shock of black hair .,,The train hit the buffers with a great shock .
piece,44928,He 's packin ' a piece !,,He needed a piece of granite .
assume,0-2,Mr. Jones will assume the position of a lifeguard until a proper replacement is found .,,The queen assumed the stately robes .
shock,44961,Subjects received a small electric shock when they made the wrong response .,,It came as a shock to learn that he was injured .
end,44927,The end of the year .,,One end of the box was marked ` This side up ' .
cast,1-0,Who cast this beautiful movie ?,,Cast a vote .
get,44988,We 'll get them !,,She did n't get the joke .
hold,44961,To hold true .,,Hold that position behind the trees !
glimpse,0-3,From the window he could catch a glimpse of the lake .,,"I only got a glimpse of the car , so I can tell you the colour but not the registration number ."
open,44931,Open a business .,,The door opened .
product,0-1,That store offers a variety of products .,,The product of 2 and 3 is 6 .
change,44988,She brought a change in her overnight bag .,,The product is undergoing a change in order to improve it .
lie,44962,Do n't lie to your parents .,,The snow lies on the roof . 
demand,44988,I demand an explanation .,,This position demands a lot of personal sacrifice .
art,44992,He said that architecture is the art of wasting space beautifully .,,How great thou art !
line,44986,A dedicated line .,,The letter consisted of three short lines .
check,1-0,Please check each name on the list .,,She checked for an instant and missed a step .
lead,44988,A good lead for a job .,,They did n't follow our lead .
get,45078,The operator could n't get Kobe because of the earthquake .,,What did you get at the toy store ?
roll,44987,Roll your hair around your finger .,,The thunder rolled .
invitation,0-3,She threw the invitation away .,,She was an invitation to trouble .
go,44966,This violinist is as good as Juilliard-trained violinists go .,,It 's your turn ; go .
drift,45089,Drift the cattle herds westwards .,,The balloon was drifting in the breeze .
work,44986,This old radio does n't work anymore .,,This pilot works the controls .
lift,0-4,Lift an embargo .,,Lift potatoes .
crash,44961,Let 's crash the party !,,The economy crashed .
patch,0-8,A cabbage patch .,,Does n't that patch of clouds looks like a bunny ?
swing,44991,The soccer player began to swing at the referee .,,This action swung many votes over to his side .
gather,45021,Gather some stones .,,"If you want to emphasise the shape , it is possible to gather the waistline ."
number,45113,In English the subject and the verb must agree in number .,,I hope to become one of their number before I die .
run,0-1,The defensive line braced to stop the run .,,The team enjoyed a brief run of victories .
touch,44986,"Can he reach ? "" "" The chair must not touch the wall .",,Their hands touched .
advance,45022,Can you advance me some money ?,,To advance one 's interests .
form,45056,Sculpture is a form of art .,,"To apply for the position , complete the application form ."
go,4-0,Messages must go through diplomatic channels .,,The speech has to go through several more drafts .
finish,44960,His best finish in a major tournament was third .,,It was a fight to the finish .
head,44958,A reduction in the assessment per head of sheep .,,He was at the head of the column .
land,44988,They come from a faraway land .,,He returned to the land of his birth .
reduce,44988,Reduce a problem to a single question .,,Reduce one 's standard of living .
bank,0-0,The pilot had to bank the aircraft .,,Bank a fire .
splash,44927,I heard a splash when the rock landed in the pond .,,He made a great splash and then disappeared .
check,44928,Check the time of the class .,,Check the oil in your car once a month .
give,44927,Give the orders .,,The French doors give onto a terrace .
art,44933,Art does not need to be innovative to be good .,,It 's quite an art .
see,44960,I went to see my friend Mary the other day .,,This program will be seen all over the world .
carry,44927,Put down 5 and carry 2 .,,This paper carries a restaurant review .
give,44993,Give a course .,,She gave the boy a good spanking .
time,44988,We had a wonderful time at the party .,,I did n't have time to finish .
track,3-0,Track a missile .,,I tracked prints .
product,44927,This is a product of lime and nitric acid .,,His reaction was the product of hunger and fatigue .
come,45139,Come into the room .,,The first success came three days later .
control,1-0,The control condition was inappropriate for the conclusions he wished to draw .,,I turned the controls over to her .
give,0-2,Give priority to .,,The French doors give onto a terrace .
float,0-0,Float the plaster .,,The balloon floated off into the distance .
make,45047,Make a move .,,They make a cute couple .
play,45174,Play a hooked fish .,,He played $ 20 on the new horse .
practice,44929,I took over his practice when he retired .,,It is not the local practice to wear shorts to dinner .
inwardness,44931,"Inwardness is what an Englishman quite simply has , painlessly , as a birthright .",,"Socrates ' inwardness , integrity , and inquisitiveness""- H.R.Finch ."
date,0-1,His date never stopped talking .,,We have n't heard from them to date .
feast,45017,We had a feast to celebrate the harvest .,,The Thanksgiving feast .
section,45172,A section of a fishing rod .,,The finance section of the company .
tramp,45083,A homeless tramp .,,The tramp of military boots .
make,2-0,Make an estimate .,,Can you make me an omelette ?
run,44958,The sale will run for ten days .,,They ran twenty blood tests on me and they still do n't know what 's wrong .
break,44928,Break the cycle of poverty .,,The first winter storm broke over New York .
notice,0-6,A notice of sale .,,"He took no notice of the changes , and went on as though nothing had happened ."
break,44931,Break a promise .,,The surf broke .
mixture,44989,He drank a mixture of beer and lemonade .,,A gradual mixture of cultures .
keep,44927,Can I keep my old stuffed animals ?,,Keep smiling .
cut,45083,The glass from the shattered windshield cut into her forehead .,,The new tooth is cutting .
break,44987,I had to break a $ 100 bill just to buy the candy .,,His voice is breaking -- he should no longer sing in the choir .
make,44990,Make one 's way into the forest .,,Make yourself clear .
emission,44927,The emission of heat from a fire .,,The emission was mostly blood .
catch,0-0,I have some free time tonight so I think I 'll catch a movie .,,The fashion did not catch .
repair,45110,To repair a shattered fortune .,,To repair to sanctuary for safety .
excuse,0-3,He 's a sorry excuse of a doctor .,,He had to get his mother to write an excuse for him .
touch,3-0,The local Mafia wo n't touch gambling .,,Are you all right ? You 've hardly touched your lunch .
dent,45204,It made a dent in my bank account .,,The crash produced a dent in the left side of the car .
keep,44962,Where do you keep your gardening tools ?,,These potatoes keep for a long time .
take,45020,Take a risk .,,I 'll take that plate off the table .
see,44927,I want to see whether she speaks French .,,I saw their laughing and joking .
hold,4-0,The general ordered the colonel to hold his position at all costs .,,He held the governorship for almost a decade .
break,44987,The break in the eighth frame cost him the match .,,They hoped to avoid a break in relations .
head,45018,Under the head of minor Roman poets .,,The head of the hammer .
run,45048,The team enjoyed a brief run of victories .,,"Yesterday we did a run of 12,000 units ."
grain,44961,He does not have a grain of sense .,,A grain of sand .
fill,0-0,Fill a container .,,The liquid fills the container .
get,45018,She did n't get his name when they met the first time .,,Her childish behavior really get to me .
push,44929,He gave the door a hard push .,,The push of the water on the walls of the tank .
heat,0-2,Heat the house .,,Heat the water on the stove .
draw,45018,Draw a conclusion .,,"She drew $ 2,000 from the account ."
fall,44932,Fall into a trap .,,The barometer is falling .
size,45080,That 's the size of the situation .,,A wolf is about the size of a large dog .
stand,45081,"Here I stand , wondering what to do next .",,There stood on the corner a statue .
reason,45083,The reason that war was declared .,,They had good reason to rejoice .
cut,0-2,Cut orders .,,Cut a caper .
occasion,44931,An occasion arranged to honor the president .,,There was no occasion for complaint .
draw,44959,"At the start of their turn , each player must draw a card .",,The session was drawn to a close .
come,44962,These shoes come in three colors .,,He came through the door .
space,45017,They stopped at an open space in the jungle .,,It all happened in the space of 10 minutes .
turn,0-1,Turn the legs of the table .,,People turn to mysticism at the turn of a millennium .
set,44991,Set up an experiment .,,The moon sets at eight o'clock tonight .
patch,45027,Patch the skirt .,,The field was patched with snow .
center,0-1,His stories made him the center of the party .,,They had to reinforce the center .
drive,44959,Can you drive this four-wheel truck ?,,What are you driving at ?
run,44960,The crowd had to run away from the burning structure with only the clothes on their backs .,,She ran her fingers along the carved figurine .
work,45051,Do you want to work after the age of 60 ?,,He works his parents for sympathy .
place,0-2,He put the lamp back in its place .,,He has a special place in my thoughts .
study,0-1,He knocked lightly on the closed door of the study .,,He is a quick study .
degree,44993,A remarkable degree of frankness .,,Most humans have a field of vision of almost 180 degrees .
stretch,45079,I was right in the middle of a stretch when the phone rang .,,There were stretches of boredom .
keep,0-3,Keep count .,,Keep appointments .
left,0-1,The political left is not holding enough power .,,Jab with your left .
baby,0-3,When is your baby due ?,,The baby of the family .
make,44958,To make like a deer caught in the headlights .,,He will make a splendid father !
run,45084,Run a temperature .,,Let the dogs run free .
area,0-1,The area of a rectangle .,,The spacious cooking area provided plenty of room for servants .
draw,45052,Draw on a cigarette .,,Draw wire .
carry,44931,I always carry money .,,The troops carried the town after a brief fight .
night,0-2,From noon till night .,,The cat disappeared into the night .
make,0-2,Make a mistake .,,This invention will make you a millionaire .
water,44961,"He showed me the river of living water , sparkling like crystal , flowing from the throne of God .",,He asked for a drink of water .
ride,45048,I ride to work in a bus .,,Ship rides at anchor .
opening,44961,A salamander darted out of an opening in the rocks .,,The opening received good critical reviews .
begin,44928,You can not even begin to understand the problem we had to deal with during the war .,,The semester begins with a convocation ceremony .
play,0-0,Play with her feelings .,,He plays on three teams .
serve,44961,They serve a restricted role on the bench .,,The minister served the King for many years .
work,44929,Work stone into tools .,,How does your idea work in practice ?
get,44987,We 'll get them !,,He got his arm broken in the scuffle .
make,0-0,To make like a deer caught in the headlights .,,This wool makes into a nice sweater .
beachhead,45049,The Germans were desperately trying to contain the Anzio beachhead .,,The town became a beachhead in the campaign to ban smoking outdoors .
leave,44958,A ten day 's leave to visit his mother .,,Might I beg leave to accompany you ?
beat,45142,The boat beat in the strong wind .,,I beat the traffic .
movement,44990,The movement of cargo onto the vessel .,,He had a bowel movement .
do,0-0,What will you do this afternoon ?,,A ' B ' grade does n't suffice to get me into medical school .
line,44960,The line of soldiers advanced with their bayonets fixed .,,He has a smooth line but I did n't fall for it .
behave,45021,Do n't behave like a fool .,,The children must learn to behave .
school,44927,The whole school turned out for the game .,,He did n't miss a single day of school .
see,9-0,I can see a risk in this strategy .,,We went to see the Eiffel Tower in the morning .
break,1-0,I had to break a $ 100 bill just to buy the candy .,,Someone broke in while I was on vacation .
feel,44987,I can feel the sadness in his poems .,,He felt his flesh crawl .
cut,1-0,The Vietnamese cut a lot of timber while they occupied Cambodia .,,Cut recording tape .
line,44929,He has a smooth line but I did n't fall for it .,,Toe the line .
source,45019,He spent hours looking for the source of that quotation .,,The accused refused to reveal the source of the illegal drugs she was selling .
have,45081,Have a feeling .,,What do we have here ?
head,45023,The beer had a large head of foam .,,The head of the compass needle is pointing due north .
turn,0-2,Turn the corner .,,The water turned into ice .
head,44932,200 head of cattle .,,This song keeps going through my head .
render,45049,To render Latin into English .,,Render the town to the enemy .
start,44959,We simply could not start the engine .,,Start a foundation .
case,44958,It may rain in which case the picnic will be canceled .,,A window case .
give,44991,Give a course .,,Give a gulp .
put,45079,Put these words to music .,,Put money into bonds .
number,44927,Every number has a unique position in the sequence .,,He has an unlisted number .
draw,45048,Draw a weapon .,,The President 's comments drew sharp criticism from the Republicans .
stay,44989,I can only stay for an hour .,,"After the trial period , she was asked to stay on and work full-time ."
roll,0-2,Roll your hair around your finger .,,The ball rolled down the hill .
cut,44988,Cut paper dolls .,,Cut a nice figure .
range,45020,Range of motion .,,The army maintains a missile range in the desert .
trust,45054,The doctor-patient relationship is based on trust .,,He betrayed their trust .
draw,45233,Draw parallels .,,He drew an elaborate plan of attack .
make,44959,Make a mess in one 's office .,,"He made as if to punch him , but they both laughed and shook hands ."
go,0-3,Do you think the sofa will go through the door ?,,The belt just barely went around his waist .
habit,44962,She had a habit twirling the ends of her hair .,,A shrub of spreading habit .
beat,44996,He danced hypnotically while she beat the atabaque .,,Reading beats watching television .
work,0-0,I can not work a miracle .,,Can you work an electric drill ?
head,0-0,Head the fish .,,This student heads the class .
break,44932,This play will either make or break the playwright .,,The figurine broke .
set,44986,Set this poem to music .,,To set pear trees in an orchard .
put,44927,He put all his efforts into this job .,,Put these words to music .
fire,44959,Hold your fire until you can see the whites of their eyes .,,Barbecue over an open fire .
beauty,45019,Brigitte Bardot was a renowned beauty .,,His roses were beauties .
drive,44965,He took the family for a drive in his new car .,,A variable speed drive permitted operation through a range of speeds .
copy,0-2,Catastrophes make good copy .,,She made a copy of the designer dress .
pull,0-1,Pull a horse .,,Pull weeds .
convert,44929,Could you convert my dollars into pounds ?,,Smith converted and his team won .
make,1-0,Make a phone call .,,Make one 's way into the forest .
prove,44987,Prove a will .,,The exception proves the rule .
top,44962,Top the evening with champagne .,,Top and tail the carrots .
allow,0-12,To allow a son to be absent .,,Mandela was allowed few visitors in prison .
cut,44993,She could not cut the long days in the office .,,His opponent cut upward toward his chin .
come,45117,Nothing good will come of this .,,His breath came hard .
make,44959,We should make Cincinnati by 7 tonight .,,She was made president of the club .
floor,0-0,The pit floor showed where a ring of post holes had been .,,The room has a wooden floor .
swing,45053,Swing forward .,,This action swung many votes over to his side .
head,44967,200 head of cattle and 50 head of horses .,,A head of steam .
take,44928,I take it you 're not going ?,,I estimate the trip will take about ten minutes .
play,45172,Play the stock market .,,Who 's playing now ?
heart,45018,In your heart you know it is true .,,You have n't got the heart for baseball .
pull,45079,Pull the oars .,,Pull the trigger of the gun .
number,45022,The number of parameters is small .,,I hope to become one of their number before I die .
pay,45176,It will pay to wait .,,You 'll pay for this opinion later .
wear,0-2,Wear one 's hair in a certain way .,,He always wears a smile .
hold,45021,She can hold an audience spellbound .,,"Hold this bowl for a moment , please ."
period,44959,In England they call a period a stop .,,Picasso 's blue period .
go,0-0,Messages must go through diplomatic channels .,,Get going !
press,4-0,This guy can press 300 pounds .,,Press a record .
turn,45019,Turn your palm this way .,,Turn the clay on the wheel .
make,0-0,Make lead into gold .,,We barely made the plane .
take,0-3,I estimate the trip will take about ten minutes .,,Tomorrow the doctor will take the cast off her arm .
face,0-2,Turn and face your partner now .,,"The bunkers faced north and east , toward Germany ."
fall,1-0,The line of men fall forward .,,The most difficult task fell on the youngest member of the team .
order,0-4,Magnolias belong to the order Magnoliales .,,It was on the order of a mile .
time,45019,The time of year for planting .,,This time he succeeded .
point,4-0,They sailed south around the point .,,A row of points .
make,44961,Make merry .,,She makes like an actress .
rest,44961,The ocean was finally at rest .,,He threw away the rest .
turn,45017,Turn on the spot .,,He turned traitor .
fall,0-1,The line of men fall forward .,,Light fell on her face .
stop,45020,It came to a stop at the bottom of the hill .,,His next stop is Atlanta .
clean,45058,Clean grain before milling it .,,Clean the spots off the rug .
register,44987,Her surprise did not register .,,Register for an election .
make,44959,Make enemies .,,He made a fool of himself at the meeting .
break,44989,"If the vase falls to the floor , it might break .",,The flat plain was broken by tall mesas .
give,0-1,Can I give you my keys while I go in the pool ?,,She gave me a dirty look .
call,0-1,Call a football game .,,She was called into the director 's office .
voice,45019,After the fire a still small voice . — 1 Kings 19:12 .,,Conservatism has many voices .
draw,0-3,"At the start of their turn , each player must draw a card .",,She drew an elephant .
show,0-2,He bet $ 2 on number six to show .,,The car 's dull finish showed years of neglect .
work,44986,This old radio does n't work anymore .,,The vintner worked the wine in big oak vats .
opening,0-3,The opening received good critical reviews .,,The opening of his arms was the sign I was waiting for .
work,45028,Can you work an electric drill ?,,Work the metal into a sword .
position,45079,Chief of Staff is the second highest position in the army .,,The position of the hands on the clock .
see,44986,Now I see !,,Can you see the bird in that tree ?
round,45267,There was a round of applause .,,They brought us a round of drinks about every thirty minutes .
stick,0-2,The policy so far is all stick and no carrot .,,Fever left him weak on his sticks .
light,0-1,Can you shed light on this problem ?,,Put that light out !
softness,0-1,Softness is not something permitted of good leaders .,,Orders have recently picked up after a period of extreme softness .
serve,44988,We serve meals for the homeless .,,The President 's wisdom has served the country well .
center,45018,He hit the ball to deep center .,,His stories made him the center of the party .
head,44927,Be careful when you pet that dog on the head ; it may bite .,,We will consider performance issues under the head of future improvements .
live,45050,Can you live on $ 2000 a month in New York City ?,,The holocaust survivors have lived a nightmare .
admit,0-2,The French doors admit onto the yard .,,This pipe admits air .
bank,44927,He cashed a check at the bank .,,He tried to break the bank at Monte Carlo .
pound,45108,Pound the roots with a heavy flat stone .,,My heart is pounding .
